scripts,score,timeline,timeline_ori
曼朱基奇抢断反击，左侧内切,,50,下半场4'19''
横传找佩里西奇，被防守球员破坏,,50,下半场4'28''
克罗地亚获得了右侧角球机会！！,,50,下半场4'38''
角球开出到禁区，第一点被解围,,51,下半场5'4''
弗尔萨利科抢到落点，远射打偏！！,,51,下半场5'21''
这段时间克罗地亚的进攻很犀利啊！！,,51,下半场5'49''
布罗佐维奇中场拿球，分球右侧莫德里奇,,52,下半场6'20''
斜传右路给到雷比奇,,52,下半场6'25''
雷比奇内切趟球趟大，被马图伊迪抢断,,52,下半场6'39''
法国队的反击，博格巴拿球,,52,下半场6'46''
分球右侧给到姆巴佩，右路内切禁区,,53,下半场7'13''
起脚打门，被出击的苏巴西奇倒地封堵出来,,53,下半场7'21''
姆巴佩的速度太快了！！,,53,下半场7'34''
有2名球迷闯进了球场，比赛暂时中断！！,,53,下半场7'55''
安保人员进场将球迷带离，比赛坠球开始！！,,54,下半场8'9''
克罗地亚的球权,,54,下半场8'16''
布罗佐维奇前场左路拿球，斜传禁区,,54,下半场8'35''
曼朱基奇前插接应，和出击的洛里斯相撞,,54,下半场8'52''
球被洛里斯打出底线，自己也是受伤倒地,,55,下半场9'11''
法国队换人：15号恩宗齐上，换下了13号坎特！！,,55,下半场9'23''
刚刚这球裁判吹罚了曼朱基奇的冲撞门将犯规，法国队球权！！,,55,下半场9'44''
姆巴佩右路拿球强突，被斯特里尼奇成功拦截,,56,下半场10'27''
克罗地亚的中场失误，法国队反击,,56,下半场10'45''
格里兹曼中路拿球强突，维达补防滑铲，将球解围出边线,,57,下半场11'0''
博格巴中场拿球，莫德里奇的抢断,,57,下半场11'18''
莫德里奇控制球调整一下，长传前场找佩里西奇,,57,下半场11'29''
太远了，球被乌姆蒂蒂控制,,57,下半场11'38''
拉基蒂奇中场拿球，吉鲁的回防犯规！！,,58,下半场12'4''
克罗地亚前场左路的传中到后点,,58,下半场12'21''
无人到位，球被洛里斯出击控制！！！,,58,下半场12'30''
佩里西奇左路拿球，单挑帕瓦尔,,58,下半场12'58''
踩单车内切，下底左脚传中到后点,,59,下半场13'11''
太高了，球过了曼朱基奇的头顶，直接出了边线,,59,下半场13'22''
法国队再进一球！！,,59,下半场13'41''
博格巴！！！！,,59,下半场13'45''
博格巴中场斜传右路给姆巴佩，姆巴佩内切横传给到格里兹曼，格里兹曼背身,,61,下半场15'18''
这球是博格巴的组织，博格巴的终结！！,,61,下半场15'41''
法国队前场再攻，博格巴的长传到前场左路,,62,下半场16'10''
马图伊迪拿球，内切传中到禁区,,62,下半场16'17''
姆巴佩前点头球轰门被挡出,,62,下半场16'29''
吉鲁的倒勾似传似射到门前，回防的洛夫伦滑铲将球解围出底线,,63,下半场17'0''
这球相当有威胁！！,,63,下半场17'4''
法国队的角球，没能形成威胁！！,,63,下半场17'11''
佩里西奇前场右路拿球，内切传中到禁区,,63,下半场17'59''
乌姆蒂蒂头球解围出来,,64,下半场18'4''
克罗地亚前场再攻！！,,64,下半场18'11''
落后两球，克罗地亚需要反扑了,,64,下半场18'21''
雷比奇前场左路拿球，内切打门，被挡出,,65,下半场19'0''
法国队的进攻，博格巴中圈拿球,,65,下半场19'16''
没机会，回传给到恩宗齐,,65,下半场19'27''
再给博格巴，直塞左侧埃尔南德斯,,65,下半场19'45''
法国队再进一个！！！4-1！！！,,65,下半场19'55''
姆巴佩的世界波！！！,,66,下半场20'2''
埃尔南德斯左路拿球，内切摆脱防守，横传禁区弧外给到姆巴佩，姆巴佩停球,,67,下半场21'19''
这是姆巴佩本届世界杯的第四球！！,,67,下半场21'39''
